"t","x","y","dt","type"
2213.783,2770,591,0.0999999999999091,0
2213.963,1637,698,0.0799999999999272,0
2214.223,1642,724,0.119999999999891,0
2214.363,2996,748,0.160000000000309,0
2214.563,2996,788,0.0799999999999272,0
2214.683,3373,719,0.139999999999873,0
2219.82,1542,1621,1.11899999999969,0
2222.718,609,778,0.140000000000327,2
2222.918,1563,1838,2.03899999999976,0
2224.977,1578,1942,2.31800000000021,0
2227.315,1521,1832,0.699999999999818,0
2228.195,823,1200,0.918999999999869,0
2229.134,1380,1671,0.739999999999782,0
2229.894,1362,1659,4.11700000000019,0
2234.051,1361,1654,0.700000000000273,0
2234.771,239,905,0.0999999999999091,2
2234.891,1463,1752,0.159999999999854,0
2248.703,1249,1323,1.23900000000003,0
2249.962,1290,1233,0.159999999999854,0
2250.242,1308,1287,0.618999999999687,0
2250.881,1306,1309,0.180000000000291,0
2251.101,1245,1315,0.519999999999982,0
2251.721,581,1512,0.119999999999891,2
2251.861,1224,1404,0.419000000000324,0
2252.3,1172,1390,0.199999999999818,0
2252.56,1299,1359,0.119999999999891,0
2252.7,1276,1397,0.920000000000073,0
2253.68,1300,1362,2.25800000000027,0
2255.958,610,1533,0.139999999999873,2
2256.118,609,1534,0.0799999999999272,2
2256.218,1192,1409,1.0590000000002,0
2257.297,606,1535,0.119999999999891,2
2257.517,606,1534,0.100000000000364,2
2257.637,1293,1329,0.0999999999999091,0
2257.757,1326,1332,0.0799999999999272,0
2258.297,606,1536,0.0799999999999272,2
2258.477,606,1536,0.0799999999999272,2
2259.076,606,1537,0.0799999999999272,2
2259.676,1329,1324,0.320000000000164,0
2260.016,1046,1401,0.0999999999999091,0
2260.136,606,1537,0.0799999999999272,2
2260.236,1335,1316,0.260000000000218,0
2260.775,1307,1315,0.0999999999999091,0
2261.075,1320,1291,0.380000000000109,0
2261.495,1316,1275,0.220000000000255,0
2261.755,1313,1263,0.179999999999836,0
2262.155,1381,1317,0.31899999999996,0
2262.494,1379,1253,0.139999999999873,0
2262.654,1326,1254,0.380000000000109,0
2263.094,1281,1330,0.159999999999854,0
2263.274,1304,1321,0.200000000000273,0
2263.514,1314,1348,1.03899999999976,0
2264.673,1288,1331,0.180000000000291,0
2264.973,1299,1350,0.260000000000218,0
2265.253,1293,1335,0.638999999999669,0
2266.212,1364,1186,0.0799999999999272,0
2266.532,1355,1160,0.199999999999818,0
2267.212,1332,1221,0.159999999999854,0
2267.391,1335,1208,0.0799999999999272,0
2267.791,1291,1227,0.159999999999854,0
2268.411,1276,1320,0.599999999999909,0
2269.071,1236,1327,0.119000000000142,0
2269.49,1400,1212,0.260000000000218,0
2270.07,1514,1723,0.159999999999854,0
2270.39,1548,1888,0.2800000000002,0
2270.69,1487,1909,0.119000000000142,0
2270.889,1392,2009,0.319999999999709,0
2271.389,814,1540,0.119999999999891,0
2271.949,1389,1920,1.31899999999996,0
2284.242,1794,1730,0.638999999999669,0
2284.941,1442,1414,0.760000000000218,0
2285.761,1493,1607,0.719000000000051,0
2286.88,1751,1870,0.400000000000091,0
2287.3,1744,1796,1.29899999999998,0
2288.619,1674,1836,0.139999999999873,0
2288.959,1716,1978,0.320000000000164,0
2293.076,1532,1752,0.539999999999964,0
2293.636,1345,1600,1.47899999999981,0
2295.135,1427,1651,1,0
2300.972,1795,1850,1.39899999999989,0
2302.391,1752,1832,1.15900000000011,0
2303.91,1969,1640,4.25700000000006,0
2308.447,2239,1777,0.319999999999709,0
2308.887,2151,1691,0.898999999999887,0
2309.946,2165,1673,0.480000000000018,0
2310.446,2105,1685,0.240000000000236,0
2310.706,2110,1681,0.359999999999673,0
2311.146,2171,1700,0.998999999999796,0
2312.205,2175,1712,0.360000000000127,0
2312.585,2169,1655,0.400000000000091,0
2313.005,2167,1665,0.31899999999996,0
2313.344,1908,1592,0.519999999999982,0
2313.884,1596,1506,0.0999999999999091,0
2314.064,1488,1495,0.100000000000364,0
2314.184,1915,1587,0.259999999999764,0
2314.464,1815,1577,0.699000000000069,0
2315.343,1872,1620,0.180000000000291,0
2315.563,1894,1591,0.179999999999836,0
2315.803,1659,1516,0.0799999999999272,0
2316.023,1900,1594,0.119999999999891,0
2316.223,1892,1579,0.119999999999891,0
2316.363,1890,1597,0.459000000000287,0
2317.022,1661,1566,0.380000000000109,0
2317.422,1921,1603,0.360000000000127,0
2317.822,2138,1758,0.418999999999869,0
2318.381,2123,1740,1.24000000000024,0
2319.641,2167,1733,0.619000000000142,0
2320.32,2140,1662,0.319999999999709,0
2320.66,2232,1623,0.100000000000364,0
2320.78,2232,1613,0.519999999999982,0
2321.34,1973,1600,0.159999999999854,0
2321.819,2051,1626,0.179999999999836,0
2322.099,2196,1649,0.239999999999782,0
2322.419,2223,1681,0.0799999999999272,0
2322.519,2077,1632,0.160000000000309,0
2322.699,2071,1588,0.0799999999999272,0
2322.939,2134,1633,0.37900000000036,0
2323.478,2089,1718,2.39899999999989,0
2325.917,1963,1602,0.220000000000255,0
2326.157,2078,1679,0.759000000000015,0
2327.156,2136,1669,0.639999999999873,0
2327.936,2138,1734,0.2199999999998,0
2328.336,1504,1485,0.119000000000142,0
2329.155,2083,1608,0.0999999999999091,0
2329.755,1893,1531,0.0799999999999272,0
2330.374,2086,1528,0.140000000000327,0
2330.614,1997,1507,0.0799999999999272,0
2330.714,1945,1491,0.119999999999891,0
2330.914,1997,1503,0.0799999999999272,0
2331.114,1633,1383,0.0999999999999091,0
2331.434,1299,1345,0.0799999999999272,0
2331.534,1840,1467,0.0999999999999091,0
2331.654,1803,1462,0.239000000000033,0
2331.913,1801,1484,0.2199999999998,0
2332.353,1951,1628,0.259999999999764,0
2353.221,1921,1344,2.41800000000012,0
2355.979,1811,1130,0.140000000000327,0
2356.439,1970,1020,0.120000000000346,0
2356.679,1810,1101,0.2199999999998,0
2356.919,1702,1116,0.120000000000346,0
2357.059,1985,1035,0.558999999999742,0
2358.038,1752,1115,0.320000000000164,0
2358.378,1596,1209,0.159999999999854,0
2358.558,1594,1153,0.0999999999999091,0
2358.758,1580,1223,0.859000000000378,0
2359.777,1558,1198,0.0799999999999272,0
2359.877,639,1500,0.0999999999999091,2
2359.997,1585,1177,0.380000000000109,0
2360.437,1500,1213,0.0790000000001783,0
2361.196,1389,1304,0.420000000000073,0
2361.676,1095,1451,0.0999999999999091,0
2362.335,1741,1110,0.0799999999999272,0
2362.515,1723,1245,0.599999999999909,0
2363.135,1223,1365,0.718999999999596,0
2364.294,1929,978,0.120000000000346,0
2364.794,1697,1315,2.09900000000016,0
2367.213,663,1542,0.259000000000015,2
2367.492,667,1542,0.359999999999673,2
2368.052,1760,1123,0.199999999999818,0
2368.332,1196,1301,0.0799999999999272,0
2368.452,1492,1210,1.33899999999994,0
2369.811,1726,1109,0.359999999999673,0
2370.231,668,1486,0.159999999999854,2
2370.531,1719,1119,0.278999999999996,0
2370.99,1716,1121,0.100000000000364,0
2371.43,1728,1067,0.080000000000382,0
2371.63,1519,1146,0.119999999999891,0
2372.03,1672,1082,0.159999999999854,0
2372.23,1690,1092,0.358999999999924,0
2372.669,1746,1050,0.380000000000109,0
2373.069,1706,1078,0.0799999999999272,0
2373.169,1632,1100,0.220000000000255,0
2373.409,1619,1097,0.0799999999999272,0
2373.869,1618,1142,0.138999999999669,0
2374.048,1724,1113,0.080000000000382,0
2374.148,1708,1081,0.199999999999818,0
2374.668,1608,1189,0.159999999999854,0
2374.848,671,1491,0.159999999999854,2
2378.946,603,1524,0.0999999999999091,2
